ClassNo,Class,classId,className,branchId,branchName
1.0,Pre KG,1,Pre KG,1,Kindergarten
2.0,LKG - A,2,LKG,1,Kindergarten
3.0,LKG - B,2,LKG,1,Kindergarten
4.0,UKG - A,3,UKG,1,Kindergarten
5.0,UKG - B,3,UKG,1,Kindergarten
6.0,UKG - C,3,UKG,1,Kindergarten
7.0,I - A,4,I,2,Primary
8.0,I - B,4,I,2,Primary
9.0,I - C,4,I,2,Primary
10.0,I - D,4,I,2,Primary
11.0,II - A,5,II,2,Primary
12.0,II - B,5,II,2,Primary
13.0,II - C,5,II,2,Primary
14.0,II - D,5,II,2,Primary
15.0,III - A,6,III,2,Primary
16.0,III - B,6,III,2,Primary
17.0,III - C,6,III,2,Primary
18.0,III - D,6,III,2,Primary
19.0,IV - A,7,IV,2,Primary
20.0,IV - B,7,IV,2,Primary
21.0,IV - C,7,IV,2,Primary
22.0,IV - D,7,IV,2,Primary
23.0,V - A,8,V,2,Primary
24.0,V - B,8,V,2,Primary
25.0,V - C,8,V,2,Primary
26.0,V - D,8,V,2,Primary
27.0,VI - A,9,VI,3,Higher
28.0,VI - B,9,VI,3,Higher
29.0,VI - C,9,VI,3,Higher
30.0,VI - D,9,VI,3,Higher
31.0,VII - A,10,VII,3,Higher
32.0,VII - B,10,VII,3,Higher
33.0,VII - C,10,VII,3,Higher
34.0,VII - D,10,VII,3,Higher
35.0,VIII - A,11,VIII,3,Higher
36.0,VIII - B,11,VIII,3,Higher
37.0,VIII - C,11,VIII,3,Higher
38.0,IX - A,12,IX,3,Higher
39.0,IX - B,12,IX,3,Higher
40.0,IX - C,12,IX,3,Higher
41.0,X - A,13,X,3,Higher
42.0,X - B,13,X,3,Higher
43.0,X - C,13,X,3,Higher
,nan,0,,0,
